#
# The Tor Project
#
# URL: https://metrics.torproject.org/onionperf-throughput.csv?start=2022-12-23&end=2023-01-24&server=public
#
date,source,server,low,q1,md,q3,high
2023-01-21,op-hk6,public,102,907,2396,3719,6452
2023-01-21,op-hk6a,public,180,1379,2526,3679,6990
2023-01-21,op-hk7,public,127,1047,2621,4083,7489
2023-01-21,op-nl6,public,59,1519,3778,6657,13107
2023-01-21,op-us6,public,254,1416,3106,5745,10485
2023-01-21,op-us7,public,102,1269,3656,7082,14979
2023-01-22,op-de6a,public,107,2195,4766,7767,15534
2023-01-22,op-hk6,public,183,1219,2349,3805,7108
2023-01-22,op-hk6a,public,125,1560,3061,4194,7626
2023-01-22,op-hk7,public,178,1049,2219,3438,6657
2023-01-22,op-nl6,public,187,986,3017,6452,13981
2023-01-22,op-us6,public,222,1118,3106,5825,10485
2023-01-22,op-us7,public,227,1094,2589,5484,10754
2023-01-23,op-de6a,public,100,1667,4279,9532,20971
2023-01-23,op-hk6,public,177,1165,2383,3847,7626
2023-01-23,op-hk6a,public,76,1413,2662,3984,7231
2023-01-23,op-hk7,public,105,1239,2557,4302,8559
2023-01-23,op-nl6,public,185,1160,3466,5826,12710
2023-01-23,op-us6,public,125,1155,3466,5482,10485
2023-01-23,op-us7,public,124,1045,2557,5667,11983
2023-01-24,op-de6a,public,45,1698,4072,8388,18236
2023-01-24,op-de7a,public,105,1831,4369,8104,17476
2023-01-24,op-hk6,public,125,1022,2872,3919,6452
2023-01-24,op-hk6a,public,112,1699,3189,4279,6553
2023-01-24,op-hk7,public,115,1318,2438,4215,7913
2023-01-24,op-hk7a,public,162,1508,2796,4821,9754
2023-01-24,op-nl6,public,225,1272,3437,6355,13107
2023-01-24,op-us6,public,104,1237,3615,6553,11335
2023-01-24,op-us7,public,226,1332,3919,6355,11335
